institution_id,institution_name,institution_type
00878A,Lutheran Church of Australia - Queensland District,Private
00881F,Chisholm Institute,Government
00897J,The Pittwater House Schools Ltd,Private
00898G,Holmes Commercial Colleges (Melbourne) Limited,Private
00899G,The Institute of Creative Arts and Technology,Private
00902F,A B Paterson College Limited,Private
00909K,Brisbane Christian College,Private
00917K,Western Sydney University,Government
00923A,Redlands College Ltd,Private
00956C,Cass Training Pty Ltd,Private
00958A,Alphacrucis University College Limited,Private
00959M,The Cathedral School of St Anne and St James,Private
00969J,Seventh-Day Adventist Schools (South Queensland) Ltd,Private
00971D,Haileybury Rendall School,Private
00972C,Edmund Rice Education Australia Colleges Ltd,Private
00974A,The Ivanhoe Girls Grammar School,Private
00977J,Melbourne Grammar School,Private
00978G,Seventh-Day Adventist Schools (Victoria) Limited,Private
00979G,All Saints Anglican School Limited,Private
00986G,Perth Bible College (Inc),Private
00992K,Australian Islamic College (Perth) Inc,Private
00993J,Whitsunday Anglican School Limited,Private
00996F,Christian Outreach Centre,Private
01016F,Christian Heritage College,Private
01019C,University of Sydney,Government
01020K,UNSW Global Pty Limited,Private
01022G,Korowa Anglican Girls School,Private
01031G,Rabbinical College of Australia and New Zealand,Private
01032F,The University of Notre Dame Australia,Private
01033E,Cairns Christian College Limited,Private
01037A,University of Divinity,Private
01038M,Chabad Institutions of Victoria Limited,Private
01043C,Hillcrest Christian College Limited,Private
01070M,EF International Language Schools Pty Ltd,Private
01095B,Mueller College Ltd,Private
01097M,Nazareth College,Private
01100K,Girton Grammar School Ltd,Private
01102G,St Dominic's Priory College,Private
01108B,Australian Academy of Music and Performing Arts,Private
01165D,Kaplan International English (Australia) Pty Limited,Private
01194K,St Aidan's School Council Ltd,Private
01218G,Bendigo Kangan Institute,Government
01220B,Mackillop Catholic Regional College,Private
01241G,Southern Cross University (SCU),Government
01248A,Rivermount Education Ltd,Private
01256A,The Presbyterian School of St Andrew Limited,Private
01259J,JMC Pty Limited,Private
01260E,Lutheran Church of Australia Queensland District,Private
01272A,Australian International College of Language Pty Ltd,Private
01294F,Canberra Girls' Grammar School,Private
01302M,Flight One Australia Pty Ltd,Private
01307F,SA Adelaide Language Centre Ltd,Private
01312J,Edith Cowan College Pty Ltd,Private
01317D,The Corporation of the Synod of the Diocese of Brisbane,Private
01328A,Navitas Professional Institute Pty Ltd,Private
01329M,The Corporation of the Synod of the Diocese of Brisbane,Private
01331F,Young Rabbit Pty Ltd,Private
01351B,International College of Queensland Australia Pty Ltd,Private
01376D,Alphington Grammar School,Private
01378B,Seventh-day Adventist Schools (South Queensland) Ltd,Private
01406C,FSAC Ltd,Private
01434K,Caloundra Christian College Limited,Private
01457C,Lutheran Church of Australia - Queensland District,Private
01461G,Nambour Christian College Ltd,Private
01474B,Ella Bache College Pty Ltd,Private
01484M,"International College of Management, Sydney Pty Limited",Private
01488G,Hellenic Community of WA Inc,Private
01494J,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,Private
01497F,Focal Holdings Pty Ltd,Private
01502C,Kardinia International College (Geelong) Ltd,Private
01505M,William Angliss Institute of TAFE,Government
01515J,QIBA Pty Ltd,Private
01529C,The Lake Joondalup Baptist College Inc,Private
01532G,Hillsong College Ltd,Private
01535E,The Anglican Church of Australia Collegiate School of Saint Peter,Private
01536D,Prescott College Southern,Private
01544D,Actors College of Theatre and Television Pty Ltd,Private
01545C,Melbourne Institute of Technology Pty Ltd,Private
01551E,Australian National Memorial Theatre Ltd,Private
01552D,Basair Australia Pty Ltd,Private
01576G,Sydney Institute of Business and Technology Pty Ltd,Private
01577F,Australian Baptist Education Inc,Private
01589B,Baptist Business College Ltd,Private
01590J,Melbourne Institute of Business & Technology Pty Ltd,Private
01592G,The Corporation of the Synod of the Diocese of Brisbane - Fraser Coast Anglican College,Private
01595D,University of the Sunshine Coast,Government
01600A,Queensland College of Dance,Private
01609C,Canterbury College Limited,Private
01611J,Prescott College,Private
01632D,Sunshine Coast English College Pty Ltd,Private
01645K,Woodcroft College,Private
01647G,Holmes Colleges Queensland Pty Ltd,Private
01664G,Heights College Ltd,Private
01678A,Language Studies International Australia Pty Ltd,Private
01679M,Hope of the Gold Coast Ltd,Private
01682E,Navitas Australia,Private
01688K,Kennedy Baptist College Association Inc.,Private
01697J,International Education Services Ltd,Private
01701G,Gills College Australia Pty Ltd,Private
01709K,Biba Academy of Hair & Beauty Pty Ltd,Private
01718J,CIC Higher Education Pty Ltd,Private
01723A,Department of Education,Government
01737F,Queensland Institute of Business and Technology Pty Ltd,Private
01742J,Becker Helicopter Services Pty Ltd,Private
01748C,Matthew Flinders Anglican College Limited,Private
01751G,Tenison Woods College,Private
01758A,Tasmanian College of English Pty Ltd,Private
01768K,Sydney Institute of Health Sciences Pty Ltd,Private
01774A,ASHT Pty Ltd,Private
01796F,Cambridge Academy of English Pty Ltd,Private
01799C,Northside Christian College,Private
01812M,Melbourne Rudolf Steiner Seminar Limited,Private
01822J,ACPE Limited,Private
