institution_id,institution_name,course_id,course_name,foe1_broad_field,foe1_narrow_field,foe1_detailed_field,course_level,course_duration,tuition_fee,non_tuition_fee,total_course_cost
00025B,The University of Queensland,082599G,Master of Economics and Public Policy,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),104,91390.0,2089.0,93479.0
00025B,The University of Queensland,082600G,Master of Health Economics,06 - Health,0699 - Other Health,"069999 - Health, n.e.c.",Masters Degree (Coursework),104,91390.0,2089.0,93479.0
00025B,The University of Queensland,082601G,Master of International Economics and Finance,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),104,91390.0,2089.0,93479.0
00025B,The University of Queensland,082602F,"Master of Tourism, Hotel and Event Management",08 - Management and Commerce,0807 - Tourism,080701 - Tourism,Masters Degree (Coursework),104,91662.0,2089.0,93751.0
00025B,The University of Queensland,082603E,Master of Laws,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Masters Degree (Coursework),78,67392.0,1665.0,69057.0
00025B,The University of Queensland,082604D,Master of Applied Linguistics,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,Masters Degree (Coursework),104,69629.0,2089.0,71718.0
00025B,The University of Queensland,082605C,Master of Arts in Chinese Translation and Interpreting,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,Masters Degree (Coursework),104,75468.0,2089.0,77557.0
00025B,The University of Queensland,082606B,Master of Development Practice,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Masters Degree (Coursework),104,68848.0,2219.0,71067.0
00025B,The University of Queensland,082608M,Master of Educational Studies,07 - Education,0700 - Education,"070000 - Education, n.f.d.",Masters Degree (Coursework),104,65725.0,2089.0,67814.0
00025B,The University of Queensland,082609K,Master of Conservation Science,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",Masters Degree (Coursework),92,84552.0,1719.0,86271.0
00025B,The University of Queensland,082610F,Master of Bioinformatics Research Extensive,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",Masters Degree (Coursework),104,86388.0,2081.0,88469.0
00025B,The University of Queensland,082611E,Master of Biotechnology,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Masters Degree (Coursework),104,88980.0,2081.0,91061.0
00025B,The University of Queensland,082612D,Master of Molecular Biology,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",Masters Degree (Coursework),104,88980.0,2081.0,91061.0
00025B,The University of Queensland,082613C,Bachelor of Laws (Honours),09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Bachelor Honours Degree,208,196193.0,4348.0,200541.0
00025B,The University of Queensland,082614B,Bachelor of Arts/Bachelor of Laws (Honours),10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",Bachelor Honours Degree,286,260118.0,6069.0,266187.0
00025B,The University of Queensland,082615A,Bachelor of Business Management/Bachelor of Laws (Honours),08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Bachelor Honours Degree,286,273942.0,6069.0,280011.0
00025B,The University of Queensland,082616M,Bachelor of Commerce/Bachelor of Laws (Honours),08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Honours Degree,286,273942.0,6069.0,280011.0
00025B,The University of Queensland,082617K,Bachelor of Economics/Bachelor of Law (Honours),09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Honours Degree,286,273942.0,6069.0,280011.0
00025B,The University of Queensland,082618J,Bachelor of Journalism/Bachelor of Law (Honours),10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Bachelor Honours Degree,286,260118.0,6069.0,266187.0
00025B,The University of Queensland,082619G,Bachelor of Science/Bachelor of Laws (Honours),01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Honours Degree,286,282114.0,8221.0,290335.0
00025B,The University of Queensland,082620D,Bachelor of Dental Science (Honours),06 - Health,0607 - Dental Studies,060701 - Dentistry,Bachelor Honours Degree,260,425984.0,5390.0,431374.0
00025B,The University of Queensland,082621C,Bachelor of Occupational Therapy (Honours),06 - Health,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,Bachelor Honours Degree,208,202772.0,4332.0,207104.0
00025B,The University of Queensland,082622B,Bachelor of Physiotherapy (Honours),06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,Bachelor Honours Degree,208,209002.0,4332.0,213334.0
00025B,The University of Queensland,082623A,Bachelor of Speech Pathology (Honours),06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,Bachelor Honours Degree,208,204032.0,4332.0,208364.0
00025B,The University of Queensland,082624M,Bachelor of Exercise and Sport Science (Honours),01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Honours Degree,208,172115.0,4357.0,176472.0
00025B,The University of Queensland,082625K,"Bachelor of Health, Sport and Physical Education (Honours)",06 - Health,0699 - Other Health,069903 - Human Movement,Bachelor Honours Degree,208,170365.0,4357.0,174722.0
00025B,The University of Queensland,082626J,Bachelor of Pharmacy (Honours),06 - Health,0605 - Pharmacy,060501 - Pharmacy,Bachelor Honours Degree,208,204732.0,4332.0,209064.0
00025B,The University of Queensland,082628G,Bachelor of Biotechnology (Honours),01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Bachelor Honours Degree,208,194513.0,4332.0,198845.0
00025B,The University of Queensland,082629F,Bachelor of Environmental Management (Honours),"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050901 - Land, Parks and Wildlife Management",Bachelor Honours Degree,208,194513.0,5282.0,199795.0
00025B,The University of Queensland,082631A,Bachelor of Veterinary Science (Honours),06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Bachelor Honours Degree,260,383683.0,5390.0,389073.0
00025B,The University of Queensland,082958M,Bachelor of Science (Honours),01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Honours Degree,52,45798.0,1175.0,46973.0
00025B,The University of Queensland,082960F,Bachelor of Nursing (Honours),06 - Health,0603 - Nursing,060301 - General Nursing,Bachelor Honours Degree,52,37920.0,1125.0,39045.0
00025B,The University of Queensland,082962D,Bachelor of Information Technology (Honours),02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Honours Degree,52,47495.0,1129.0,48624.0
00025B,The University of Queensland,082963C,Bachelor of Midwifery (Honours),06 - Health,0603 - Nursing,060303 - Midwifery,Bachelor Honours Degree,52,36569.0,1125.0,37694.0
00025B,The University of Queensland,083671G,Master of Economics,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),78,67192.0,1665.0,68857.0
00025B,The University of Queensland,084714D,Bachelor of Education (Primary) (Honours),07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,Bachelor Honours Degree,208,144607.0,4348.0,148955.0
00025B,The University of Queensland,084715C,Bachelor of Psychological Science (Honours),09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Bachelor Honours Degree,208,168825.0,4332.0,173157.0
00025B,The University of Queensland,084716B,Bachelor of Regional and Town Planning (Honours),04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Bachelor Honours Degree,208,194513.0,4392.0,198905.0
00025B,The University of Queensland,084717A,Doctor of Psychology,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Doctoral Degree,208,190733.0,4348.0,195081.0
00025B,The University of Queensland,084718M,Graduate Certificate in Economics Studies,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Graduate Certificate,26,21536.0,586.0,22122.0
00025B,The University of Queensland,084721E,Master of Applied Econometrics,09 - Society and Culture,0919 - Economics and Econometrics,091903 - Econometrics,Masters Degree (Coursework),78,67192.0,1665.0,68857.0
00025B,The University of Queensland,084722D,Master of Environmental Management,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Masters Degree (Coursework),104,88980.0,2141.0,91121.0
00025B,The University of Queensland,084723C,Master of Geographic Information Science,03 - Engineering and Related Technologies,0311 - Geomatic Engineering,031103 - Mapping Science,Masters Degree (Coursework),104,88980.0,2141.0,91121.0
00025B,The University of Queensland,084724B,Master of Governance and Public Policy,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Masters Degree (Coursework),104,68848.0,2089.0,70937.0
00025B,The University of Queensland,084725A,Master of Governance and Public Policy,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Masters Degree (Coursework),52,33421.0,1129.0,34550.0
