location_name,address_line_1,city,state,postcode
"724 Blunder Road, Durack 4077",724 Blunder Road,DURACK,QLD,4077
Brisbane - Holmes Institute Pty Ltd,171 Elizabeth St,BRISBANE,QLD,4000
Cairns - Holmes Institute Pty Ltd,18 Lake St,CAIRNS,QLD,4870
"Levels 2 & 3, 126 Margaret Street, Brisbane 4000","Levels 2 & 3, 126 Margaret Street",Brisbane,QLD,4000
Surfers Paradise QLD - Holmes Institute Pty Ltd,3184 Surfers Paradise Blvd,SURFERS PARADISE,QLD,4217
Avondale University (Lake Macquarie Campus) (RTO Operations),582 Freeman's Dr,COORANBONG,NSW,2265
Avondale University (Lake Macquarie) (Higher Ed Operations),582 Freemans Dr,COORANBONG,NSW,2265
Avondale University (Sydney) (Higher Ed Operations),185 Fox Valley Rd,WAHROONGA,NSW,2076
"Level 8, 108 Lonsdale Street, Melbourne",108 Lonsdale St,MELBOURNE,VIC,3000
"Suite 2, Lvl 2, 136 Chalmers Street, Surry Hills",136 Chalmers St,Surry Hills,NSW,2010
"112 Peel St, North Melbourne",112 Peel St,North Melbourne,VIC,3051
192 High Street,192 High St,NORTHCOTE,VIC,3070
Campion Institute Limited (Higher Ed Operations),8-14 Austin Woodbury Place,OLD TOONGABBIE,NSW,2146
LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY,758 Anzac Parade,MAROUBRA JUNCTION,NSW,2035
"Brisbane - L4, 333 Adelaide Street",333 Adelaide St,BRISBANE,QLD,4000
Newmarket - 23 Foster Street,23 Foster St,NEWMARKET,QLD,4051
"Level 4, Liverpool St Sydney","Level 4, 127 Liverpool St",SYDNEY,NSW,2000
SPC Brisbane,Level 5 138 Albert St,BRISBANE CITY,QLD,4000
"Sun Pacific College, Kewarra Beach",55-65 Poolwood Rd,Kewarra Beach,QLD,4879
"Melbourne Campus - Melbourne Campus - Level 1, Suite 110, 1 Queens Rd MELBOURNE VIC 3004","Level 1, Suite 110, 1 Queens Rd",Melbourne,VIC,3004
Sydney Campus - 1-5 Randle St SURRY HILLS NSW 2010,1 Randle St,SURRY HILLS,NSW,2010
"1 Gleneagles Drive, Sanctuary Cove QLD",1 Glen Eagles Dr,Sanctuary Cove,QLD,4212
"600 Thompsons Road, Sandhurst Vic 3977",600 Thompsons Rd,SANDHURST,VIC,3977
Kooralbyn Campus Inc,Ogilvie Place,KOORALBYN,QLD,4285
"478 Logan Rd, Stones Corner, QLD 4120",478 Logan Rd,Stones Corner,QLD,4120
"Level 3, 108 Margaret Street, Brisbane",108 Margaret St,BRISBANE,QLD,4001
Westminster College (RTO Operations),541 Kent St,Sydney,NSW,2000
Holmes Institute (York Street) (RTO Operations),91 York St,SYDNEY,NSW,2000
"Holmes Institute, Sydney (Higher Ed Operations)",91 York St,SYDNEY,NSW,2000
"Level 1, 2/246 Varsity Parade, Varsity Lakes",246 Varsity Pde,VARSITY LAKES,QLD,4227
MIT Institute Pty Ltd (Pitt Street) (ELICOS Operations),280 Pitt St,SYDNEY,NSW,2000
693 Station St BOX HILL VIC 3128,693 Station St,BOX HILL,VIC,3128
St George College,73 Rose Street,Mile End,SA,5031
"Unit 1, Ground Floor, 320 Harris Street, Pyrmont",320 Harris St,PYRMONT,NSW,2009
Warwick Institute of Australia Pty Ltd (Adelaide Street BRISBANE),316 Adelaide St,BRISBANE,QLD,4000
54 Currie Street Adelaide,54 Currie St,Adelaide,SA,5000
81 Currie Street,81 Currie St,Adelaide,SA,5000
60 Stirling Street,60 Stirling St,PERTH,WA,6000
"113 Adderley St, West Melbourne",113 Adderley St,West Melbourne,VIC,3003
"4, 355 Spencer Street Melbourne",355 Spencer St,West Melbourne,VIC,3003
Modern Communications Australia Pty Ltd,47 Butler St,Richmond,VIC,3121
51 Queen Street,51 Queen St,Melbourne,VIC,3000
Sunshine College of Management Pty Ltd,18 Withers St,Sunshine,VIC,3020
Bathurst St - Sydney CBD,70 Bathurst St,Sydney,NSW,2000
Bondi,"Level 2, 19-23 Hollywood Ave",BONDI JUNCTION,NSW,2022
Little Collins St - Melbourne CBD,Level 4 505 Little Collins St,MELBOURNE,VIC,3000
Melbourne - Bourke St,Level 3 601 Collins Street,MELBOURNE,VIC,3000
"301 Foleys Road Derrimut, Melbourne",301 Foleys Rd,Derrimut,VIC,3026
"8 McGlone St, Mitcham, Victoria",8 McGlone St,Mitcham,VIC,3132
Building & Construction Campus - Thomastown,28 Keon Pde,THOMASTOWN,VIC,3074
"Factory 6, 112 Colemans Rd, CARRUM DOWNS VIC",112 Colemans Rd,CARRUM DOWNS,VIC,3201
Lonsdale Street,398 Lonsdale St,Melbourne,VIC,3000
Bayside King St,"Level 7, 310 King St",MELBOURNE,VIC,3000
"Suite 2, Ground Floor, 333 Queen St, Melbourne 3000",333 Queen St,Melbourne,VIC,3000
St Vincent's Building (Westmead Campus) (ELICOS Operations),St Vincents Building,WESTMEAD,NSW,2145
Sydney Olympic Park Campus (ELICOS),8 Australia Avenue,Sydney Olympic Park,NSW,2127
University of Western Sydney - Bankstown City,74 Rickard Road,Bankstown,NSW,2200
"Lvl 3, 123 Lonsdale Street, MELB 3000",123 Lonsdale St,MELBOURNE,VIC,3000
8 Mclean Street,8 Mclean Street,Beverley,SA,5009
Level 5 - 601 Bourke St MELBOURNE VIC 3000,Level 5 - 601 Bourke St,MELBOURNE,VIC,3000
"Lvl 4, 220 Albert Road, South Melbourne",220 Albert Rd,South Melbourne,VIC,3205
"Lvl 9, 108 King William Street, Adelaide","Lvl 9, 108 King William Street",ADELAIDE,SA,5000
Nova HQ - 182 Normanby Rd Southbank,182 Normanby Rd,SOUTHBANK,VIC,3006
Nova Sydney Campus,Suite 4 Level 4 460 Church Street,Parramatta,NSW,2150
Abbotsford,212 Hoddle St,Abbotsford,VIC,3067
Whitehouse Institute of Design (NSW),2 Short St,SURRY HILLS,NSW,2010
Whitehouse Institute of Design (QLD),69 Shafston Avenue,Kangaroo Point,QLD,4169
Whitehouse Institute of Design (VIC),672 Bourke St,Melbourne,VIC,3000
"Grnd Flr & First Flr, 17 Chapman Road Rapid Creek",17 Chapman Rd,Rapid Creek,NT,810
AITT Automotive Workshop - 3 James St Clayton,3 James St,CLAYTON,VIC,3169
Melbourne Campus,- Level 3 440 Elizabeth St,MELBOURNE,VIC,3000
"552 George Street, Sydney",552 George St,Sydney,NSW,2000
Belconnen ACT,40 Cameron Ave,BELCONNEN,ACT,2617
Crown Institute of Business and Technology - North Sydney Campus,116 Pacific Hwy,NORTH SYDNEY,NSW,2060
Crown Institute of Business and Technology (Pitt St) (RTO),303 Pitt St,SYDNEY,NSW,2000
Hurstville Campus - 2 Woodville St Hurstville NSW 2220,2 Woodville St,Hurstville,NSW,2220
"Level 11, 307 Pitt St Sydney NSW 2000",307 Pitt St,Sydney,NSW,2000
"Level 2, 38-52 College Street, Darlighurst",38 College St,Darlinghurst,NSW,2010
55 Pyrmont Bridge Road PYRMONT NSW 2009,55 Pyrmont Bridge Rd,PYRMONT,NSW,2009
Adelaide Showgrounds Kitchen,1 Goodwood Road,Wayville,SA,5034
Adelaide Zoo,8 Frome Rd,Adelaide,SA,5000
Chefs Academy Sydney,319/2-10 Darling Drive,Darling Harbour,NSW,2000
QTHC Sydney Fish Market Kitchen,47 Bank St,PYRMOUNT,NSW,2009
QTHC Sydney Kitchen,1 Harris St,PYRMONT,NSW,2009
"Suite 3, Level 1, 8 Greenhill Road, Wayville, SA 5034",8 Greenhill Rd,Wayville,SA,5034
"Level G - 3, 116 Adelaide Street, Brisbance",116 Adelaide St,Brisbane,QLD,4000
Melbourne College of Hairdressing Beauty Therapy & Natural Medicine Pty Ltd - Docklands,1 Star Crescent,Docklands,VIC,3008
"Level 9-11, 168 Lonsdale Street, Melbourne",168 Lonsdale St,MELBOURNE,VIC,3000
Sydney Delivery Site,70-72 Bathurst Street,Sydney,NSW,2000
Yorke Adelaide,223-241 Angas St,ADELAIDE,SA,5000
Yorke Melbourne,124 Princes Hwy,DANDENONG,VIC,3175
13-15 Short Street. Southport QLD 4215,13 Short St,SOUTHPORT,QLD,4215
"Building 4 / 460-492 Beaudesert Road, SALISBURY",Building 4 / 460-492 Beaudesert Road,SALISBURY,QLD,4107
DDLS Brisbane,Level 8 199-201 Charlotte St,Brisbane,QLD,4000
DDLS Perth,Level 7 553 Hay St,Perth,WA,6000
Everthought Education Perth Pty Ltd - Cannington,92 Mallard Way,Cannington,WA,6155
Belmont College,63 Abernethy Rd,BELMONT,WA,6104
"17  21 Buckhurst St, South Melbourne",17 Buckhurst St,South Melbourne,VIC,3205
Level 1 355 Spencer St WEST MELBOURNE VIC 3003,Level 1 355 Spencer St,WEST MELBOURNE,VIC,3003
Level 2 600-612 George St Sydney NSW 2000,600 George St,Sydney,NSW,2000
Endeavour College of Natural Health,"Level 5, 6 and 7",Haymarket,NSW,2000
International College of Hotel Management,131-139 Currie St,Adelaide,SA,5000
"73 Rose Street, Mile End, South Australia 5031",73 Rose St,Mile End,SA,5031
Automotive Workshop - 2 Forster St RIDLEYTON SA 5008,2 Forster St,RIDLEYTON,SA,5008
DIC Melbourne Campus - 166-172 Exhibition St MELBOURNE VIC,166-172 Exhibition St,MELBOURNE,VIC,3000
Durban Renmark,19878 Sturt Hwy,OLD CALPERUM,SA,5341
"Level 1, Eastern Side, 128 Hindley Street, Adelaide",128 Hindley St,Adelaide,SA,5000
Level 18  - 45 Grenfell St ADELAIDE,Level 18  45 Grenfell St,ADELAIDE,SA,5000
"Level 4, 38 Currie Street",38 Currie St,Adelaide,SA,5000
Federation Technology Institute,"Level 8, 131 Queen St",Melbourne,VIC,3000
"Level 3, 201 Fitzroy St, St Kilda VIC 3182","Level 3, 201 Fitzroy St",St Kilda,VIC,3182
"34 Steel Street, NORTH MELBOURNE VIC 3051",34 Steel Street,North Melbourne,VIC,3051
113 Burgundy Street - Head Office Campus,113 Burgundy St,HEIDELBERG,VIC,3084
"158 Burgundy Street, Heidelberg",158 Burgundy St,Heidelberg,VIC,3084
"210 Thirteenth Street, Mildura VIC 3500",210 Thirteenth St,MILDURA,VIC,3500
"3 - 25 Goldsworthy Road, Corio VIC 3214",3 Goldsworthy Rd,Corio,VIC,3214
"6 Fetherstone Street, Bankstown",6 Fetherstone St,Bankstown,NSW,2200
626 Bell St Preston VIC 3072,626 Bell St,Preston,VIC,3072
"8 Ashley Street, WANTIRNA VIC 3152",8 Ashley St,WANTIRNA,VIC,3152
Argyle Street Parramatta - 21 Argyle St PARRAMATTA NSW 2150,Suites 1 and 2 Level 1 21 Argyle St,Parramatta,NSW,2150
Bendigo Campus - 62 Lucan St BENDIGO,62 Lucan St,BENDIGO,VIC,3550
BERRIMAH Auto workshop,78 Pruen Rd,BERRIMAH,NT,828
"Camperdown, NSW",12 Missenden Road,Camperdown,NSW,2050
Darwin - Millner Campus - Shop 23 48 Trower Rd MILLNER NT 0810,Shop 23 48 Trower Rd,MILLNER,NT,810
Education Training & Employment Australia Pty Ltd,132 Burgundy St,Heidelberg,VIC,3084
"Footscray, VIC",160 Gordon Street,Footscray,VIC,3011
"Ipswich, QLD",14 Chelmsford Avenue,Ipswich,QLD,4305
"Level 2, East, 50 Grenfell Street, Adelaide",50 Grenfell St,ADELAIDE,SA,5000
Osborne Park auto workshop,Unit 25 1 Baden St,OSBORNE PARK,WA,6017
"Redcliffe, QLD",Lot 958 Anzac Avenue,Redcliffe,QLD,4020
SA - St Agnes Workshop,118 Tolley Rd,St. Agnes,SA,5097
SA Windsor Gardens,31 Petrova Ave,Windsor Gardens,SA,5087
"St Leonards, NSW",2 Herbert Street,St Leonards,NSW,2065
"Suite 7, Level 6, 377-383 Sussex Street, Sydney NSW 2000",377 Sussex St,Sydney,NSW,2000
"Unit 4, 78-84 Catalano Circuit, Canning Vale",78 Catalano Cct,CANNING VALE,WA,6155
"Westmead, NSW",166-174 Hawkesbury Road,Westmead,NSW,2145
"601 Campus - Level 9, 601 Bourke St Melbourne VIC 3000","Level 9, 601 Bourke St",Melbourne,VIC,3000
"ALTEC CBD - Level 5, 601 Bourke Street Melbourne VIC 3000",601 Bourke St,Melbourne,VIC,3000
ALTEC HQ - Melbourne,Level 8 620 Bourke St,Melbourne,VIC,3000
"Level 1, 242 Liverpool Street, Hobart, TAS",232 Liverpool St,Hobart,TAS,7000
North Melbourne Campus,63 Boundary Road,North Melbourne,VIC,3051
"Level 1 & 2, 333 Exhibition Street, Melbourne VIC 3000",Level 1 & 2,Melbourne,VIC,3000
Australasian Lawrence Aged Care College - CRICOS - 189 Plenty Rd PRESTON VIC 3072,189 Plenty Rd,PRESTON,VIC,3072
"14-16 Grote Street, Adelaide",14 Grote St,ADELAIDE,SA,5000
"155-161 Boundary Road, North Melbourne",155 Boundary Rd,North Melbourne,VIC,3051
"41 Boundary Road, North Melbourne",41 Boundary Rd,North Melbourne,VIC,3051
"52-56 Chetwynd St, West Melbourne",52 Chetwynd St,West Melbourne,VIC,3003
CTI GOLD COAST CITY CAMPUS,40 Marine Pde,SOUTHPORT,QLD,4215
"Level 1, 8, 333 Adelaide Street - Brisbane",333 Adelaide St,BRISBANE,QLD,4000
Chalmers Street Campus - SURRY HILLS,124 Chalmers St,SURRY HILLS,NSW,2010
Drummond Street Campus - CARLTON,48 Drummond St,CARLTON,VIC,3053
Elizabeth Street Campus - MELBOURNE,- Level 6 440 Elizabeth St,MELBOURNE,VIC,3000
Covenant College,Woodcock Drive,Gordon,ACT,2901
New England Grammar School,Uralla Road,ARMIDALE,NSW,2350
"Level 1, 2, 3, 4, 131 Queen St Melbourne",131 Queen St,Melbourne,VIC,3000
"Queen St Campus - Level 5, 131 Queen St Melbourne VIC 3000","Level 5, 131 Queen St",Melbourne,VIC,3000
Australian College of Christian Studies (ACCS),"Level 2, 29 George St",Burwood,NSW,2134
Nazarene Theological College,40 Woodlands Drive,Thornlands,QLD,4164
Perth Bible College,1 College Ct,Karrinyup,WA,6018
Planetshakers College,127 Whiteman St,Southbank,VIC,3006
St Andrews Greek Orthodox Theological College,242 Cleveland Street,Redfern,NSW,2016
"Sydney College of Divinity - Box Hill, Victoria",98 Albion Road,Box Hill,VIC,3128
"Sydney College of Divinity - Macquarie Park, NSW","Unit 6B, 5 Talavera Road",North Ryde,NSW,2113
Coolum Beach Christian College Campus,2 Arcoona Road,COOLUM BEACH,QLD,4573
"Spencer St - Unit 39, 617 - 643 Spencer St, WEST MELBOURNE VIC 3003",617 Spencer St,WEST MELBOURNE,VIC,3003
"Level 1,16 Railway Parade Burwood NSW 2134",16 Railway Parade,Burwood,NSW,2134
"Level 4, 127 Liverpool Street Sydney NSW 2000","Level 4, 127 Liverpool Street",Sydney,NSW,2000
"501 Latrobe Street, Melbourne",501 Latrobe St,Melbourne,VIC,3000
9 Nicholson St BENTLEIGH VIC 3204,9 Nicholson St,BENTLEIGH,VIC,3204
Pacific Flight Services (RTO Operations),1 Drover Rd,BANKSTOWN AIRPORT,NSW,2200
Astute Training (RTO Operations),497 High St,PENRITH,NSW,2750
Australian College of Commerce & Information Technology (Kent St) (RTO Operations),495 Kent St,SYDNEY,NSW,2000
Moorabbin Airport,16 Northern Ave,Mentone,VIC,3194
Geelong Campus,191-195 Ryrie St,GEELONG,VIC,3220
"Level 3 and Level 6, 118 Queen St, Melbourne",118 Queen St,Melbourne,VIC,3000
"Level 8 and Level 12, 123 Queen St, Melbourne",123 Queen St,Melbourne,VIC,3000
The Rocks - Sydney Campus,Level 3 157-161 Gloucester St,THE ROCKS,NSW,2000
Level 1-3 Eagle Street,110 Eagle St,BRISBANE,QLD,4000
"Level 2, 4, 5, 6, 620 Bourke Street",620 Bourke St,Melbourne,VIC,3000
Level 7 310 King St Melbourne VIC 3000,310 King St,MELBOURNE,VIC,3000
"Level 8, 277 William St, Melbourne",277 William St,Melbourne,VIC,3000
"Level 11, 474 Flinders Street Melbourne",474 Flinders St,Melbourne,VIC,3000
Lygon Kitchen,242 Lygon St,Carlton,VIC,3053
"Unit 14, 65 Mark Street, North Melbourne","Unit 14, 65 Mark St",North Melbourne,VIC,3051
"233 Castlereagh Street, Sydney",233 Castlereagh St,Sydney,NSW,2000
259 Collins Street Melbourne,259 Collins St,Melbourne,VIC,3000
Level 1 108 Margaret Street Brisbane,108 Margaret St,Brisbane,QLD,4000
"Level 2, 2 Cunningham Street",2 Cunningham St,SYDNEY,NSW,2000
"162 Macquarie Street, Hobart TAS 7000",162 Macquarie St,Hobart,TAS,7000
"28-32 Elizabeth Street, Melbourne VIC 3000",28 Elizabeth St,Melbourne,VIC,3000
43-45 Elizabeth Street Melbourne VIC 3000,43 Elizabeth St,Melbourne,VIC,3000
1 Gleneagles Drive Sanctuary Cove 4212,1 Gleneagles Dr,Sanctuary Cove,QLD,4212
"180 Monaco Street, Broadbeach Waters",180 Monaco St,BROADBEACH WATERS,QLD,4218
Geelong Campus,20 Malop St,GEELONG,VIC,3220
Melbourne campus,182 Capel St,NORTH MELBOURNE,VIC,3051
"359 Queen Street, Brisbane City QLD 4000",359 Queen St,BRISBANE,QLD,4000
"90 King William St, Adelaide SA 5000",90 King William St,Adelaide,SA,5000
"Level 3, 1 Fitzwilliam Street, Parramatta",1 Fitzwilliam St,PARRAMATTA,NSW,2150
Level 4  16 - 18 Wentworth St PARRAMATTA,Level 4 16-18 Wentworth St,PARRAMATTA,NSW,2150
Unit 1 86 Collins St HOBART TAS 7000,- Unit 1 86 Collins St,Hobart,TAS,7000
"601 Bourke Street, Melbourne VIC 3000",601 Bourke St,Melbourne,VIC,3000
Bourke Street - Campus,470 Bourke St,MELBOURNE,VIC,3000
"Level 9, 540 George Street - Australian Technical and Management College Pty Ltd (RTO Operations) (Sydney site)","Level 9, 540 George St",SYDNEY,NSW,2000
"Lvl 3, 770-772 George Street, Sydney  NSW   2000",770 George St,Sydney,NSW,2000
Taylor Weir School of Hairdressing,189 William St,Northbridge,WA,6003
Pearson Aviation Pty Ltd Hangar 61 Mildura Airport,"Hangar 61, Alan Mathews Drive, Mildura Airport",Mildura,VIC,3500
Pearson Aviation Pty Ltd Hangar 61 Mildura Airport Mildura,Hangar 61 Mildura Airport,Mildura,VIC,3500
Global Village Byron Bay (Ruskin Street) (ELICOS Operations),16 Ruskin St,BYRON BAY,NSW,2481
"90 Sippy Downs Drive, Sippy Downs",90 Sippy Downs Drive,SIPPY DOWNS,QLD,4556
Acacia Ridge,247 Bradman St,ACACIA RIDGE,QLD,4110
Alexandra Hills,29 Windemere Rd,Alexandra Hills,QLD,4161
Ashmore,179 Heeb St,ASHMORE,QLD,4214
Basketball Queensland,357 Browns Plains Rd,CRESTMEAD,QLD,4132
Bohle,763 Ingham Rd,BOHLE,QLD,4816
Bracken Ridge,157 Norris Rd,BRACKEN RIDGE,QLD,4017
Bundaberg,118 Walker St,Bundaberg,QLD,4670
Bundamba,22 Byrne St,Bundamba,QLD,4304
Caboolture Campus,56 Tallon St,CABOOLTURE,QLD,4510
Cairns,1 Eureka St,MANUNDA,QLD,4870
Coolangatta,5 Scott St,COOLANGATTA,QLD,4225
Coomera,198 Foxwell Rd,COOMERA,QLD,4209
Eagle Farm,776 Kingsford Smith Dr,EAGLE FARM,QLD,4009
Football Queensland,187 Meakin Rd,SLACKS CREEK,QLD,4127
Gold Coast Campus - Griffith University (GU),58 Parklands Dr,Southport,QLD,4222
Grovely Campus,76 Fitzsimmons St,GROVELY,QLD,4054
Hervey Bay,47 Urraween Rd,Hervey Bay,QLD,4655
Kingaroy,1 Geritz Rd,Kingaroy,QLD,4610
Loganlea,50 Armstrong Rd,Meadowbrook,QLD,4131
Maroochydore,170 Horton Pde,Maroochydore,QLD,4558
Mooloolaba,34 Lady Musgrave Dr,Mountain Creek,QLD,4558
Mount Gravatt,1030 Cavendish Rd,MT GRAVATT,QLD,4122
Nambour,91 Windsor Rd,Nambour,QLD,4560
Pimlico,264 Hugh St,TOWNSVILLE,QLD,4810
Queensland Rugby Union,231 Butterfield St,HERSTON,QLD,4006
Robina Campus,209 Robina Town Centre Dr,Robina,QLD,4226
South Bank Campus,66 Ernest St,South Brisbane,QLD,4101
Southport Campus,91 Scarborough St,Southport,QLD,4215
Southport Hospitality,11 Nerang St,SOUTHPORT,QLD,4215
Springfield,37 Sinnathamby Blvd,Springfield Central,QLD,4304
Sunshine Coast Health Institute,16 Innovation Pkwy,Birtinya,QLD,4575
Toowoomba,100 Bridge St,TOOWOOMBA,QLD,4350
Whitsundays,190 Shute Harbour Rd,CANNONVALE,QLD,4802
Elston Education & Training Southport Campus,127 Olympic Circuit,SOUTHPORT,QLD,4215
Elston Education & Training Surfers Paradise Campus,Level 5 50 Appel St,SURFERS PARADISE,QLD,4217
Collins Street,Level 8,Melbourne,VIC,3000
"Level 5, 250 Collins St",Level 5,melbourne,VIC,3000
"Level 7, 250 Collins Street Melbourne VIC 3000","Level 7, 250 Collins St",Melbourne,VIC,3000
Level 9 234-250 Collins St MELBOURNE VIC 3000 Australia,234 Collins St,Melbourne,VIC,3000
Peel Street,112 Peel Street,North Melbourne,VIC,3051
37 Gregory St,37 Gregory St,PARAP,NT,820
Darwin,48 Woods St,DARWIN,NT,800
"Level 3, 303 Pitt St",Level 3 303 Pitt St,Sydney,NSW,2000
Upper Mount Gravatt,1990 Logan Rd,UPPER MOUNT GRAVATT,QLD,4122
Winnellie NT,66 Coonawarra Rd,Winnellie,NT,820
St Ursula's College Toowoomba,38 Taylor Street,TOOWOOMBA,QLD,4350
Sheffield College,21 Rundle Mall,Adelaide,SA,5000
Rundle Mall Adelaide,Level 3 112 Rundle Mall,Adelaide,SA,5000
"75 Campbell Street, Hobart",75 Campbell St,Hobart,TAS,7000
93 Paterson St LAUNCESTON TAS 7250,93 Paterson St,LAUNCESTON,TAS,7250
"Alanvale Campus, 54a Alanvale Road, Newnhan TAS 7248",54a Alanvale Rd,Newnhan,TAS,7248
"Clarence Campus, 4a Bounty Street, Warrane TAS",4a Bounty St,Warrane,TAS,7000
"Drysdale Campus, 59 Collins Hobart TAS 7000",59 Collins St,Hobart,TAS,7000
"Adelaide CBD - Lvls 10 & 14, 90 King William St, ADL","Lvl 14, 90 King William St",Adelaide,SA,5000
PirieStAdelaide,Suite 2 Level 3 97 Pirie St,ADELAIDE,SA,5000
Adelaide City Campus (Higher Education),101 Grenfell Street,Adelaide,SA,5000
Adelaide City Campus (Vocational Education),"Level 1, East 50 Grenfell Street",Adelaide,SA,5000
Mirrabooka Campus (MBC),9 Chesterfield Rd,Mirrabooka,WA,6061
Perth City Campus (PCC),171 James St,Northbridge,WA,6003
West Perth Campus (WPC),69 Outram St,West Perth,WA,6005
"269 Wickham Street, Fortitude Valley QLD 4006",269 Wickham Street,Fortitude Valley,QLD,4006
"Level 6 and 7, 399 Lonsdale Street, Melbourne VIC 3000",level 6 and 7,Melbourne,VIC,3000
"Level 6, 1-3 Fitzwilliam Street Parramatta NSW 2150","Level 6, 1-3 Fitzwilliam Street",Parramatta,NSW,2150
110 Brown St EAST PERTH WA 6004,110 Brown St,East Perth,WA,6004
249 James St NORTHBRIDGE WA 6003,249 James St,NORTHBRIDGE,WA,6003
"PCBT Trade Training Centre - 187 Colin Place, WEST PERTH WA 6005",187 Colin Pl,WEST PERTH,WA,6005
"BNSW Campus - 2 Olympic Blvd, Sydney Olympic Park",2 Olympic Blvd,Sydney Olympic Park,NSW,2127
FFSA Campus - 2-46 Cowan St,46 Cowan St,Angle Park,SA,5010
114-116 Murray Street Hobart TAS 7000,114 Murray St,Hobart,TAS,7000
Australian Ideal College (75 King Street),75 King St,SYDNEY,NSW,2000
"Level 3, 7 James Place, Rundle Mall, Adelaide",7 James Pl,Adelaide,SA,5000
"Level 1, 120 Roe Street, Northbridge WA 6003",120 Roe St,Northbridge,WA,6003
Level 6 505 George St SYDNEY NSW 2000,Level 6 505 George St,Sydney,NSW,2000
"Level 4, 344 Queen St Brisbane 4000",344 Queen St,Brisbane,QLD,4000
SIIT Pitt Street - Unit 145 414-418 Pitt St HAYMARKET NSW 2000,Unit 145 414-418 Pitt St,Haymarket,NSW,2000
243 Edward St BRISBANE CITY QLD 4000,243 Edward St,BRISBANE,QLD,4000
Level 1 601 Bourke St MELBOURNE,Level 1 601 Bourke St,MELBOURNE,VIC,3000
Level 1 65 York St SYDNEY NSW 2000,65 York St,SYDNEY,NSW,2000
Level 6 601 Bourke St MELBOURNE VIC 3000,601 Bourke St,MELBOURNE,VIC,3000
Level 7 601 Bourke St Melbourne,Level 7,MELBOURNE,VIC,3000
"Suite 1 Level 3, 127 Rundle Mall, Adelaide SA","Suite 1, Level 3, 127 Rundle Mall",ADELAIDE,SA,5000
University of Technology Sydney - Lvl 3 1-59 Quay St HAYMARKET,1-59 Quay St,Haymarket,NSW,2000
65 Hindley Street,65 Hindley St,Adelaide,SA,5000
"Level 11, 68 Grenfell Street",68 Grenfell St,Adelaide,SA,5000
Level 5 20-22 Macquarie St PARRAMATTA NSW 2150,20 Macquarie St,PARRAMATTA,NSW,2150
"Shop 6, GF, 20-22 Macquarie Street, Parramatta NSW 2150","Shop 6, GF 20 Macqaurie St",Parramatta,NSW,2150
ACOT Bourke street - Level 4 380 Bourke St MELBOURNE VIC 3000,Level 4 380 Bourke St,MELBOURNE,VIC,3000
"ACOT Melbourne CBD - Suite 1, Lvl 9, 190 Queen Street, Victoria",190 Queen St,Melbourne,VIC,3000
"Lvls 1 & 2, 851-859 High Street, Thornbury",851 High St,Thornbury,VIC,3071
"101 Glengala Road, Sunshing West VIC 3020",101 Glengala Rd,Sunshine West,VIC,3020
157 Islington St COLLINGWOOD VIC 3066,157 Islington St,COLLINGWOOD,VIC,3066
"24-26 Elizabeth Street, Richmond",24 Elizabeth St,Richmond,VIC,3121
Acumen Education Pty Ltd,5 Elizabeth St,Richmond,VIC,3121
Geelong Campus 1,1- 287-307 Melbourne Rd,NORTH GEELONG,VIC,3215
Level 8 / 55 Swanston Street Melbourne,55 Swanston St,Melbourne,VIC,3000
"1C Grand Avenue, Suite 2C, Level 1 and Part of Suite 4 Level 1 Camellia  NSW 2142",1C Grand Ave,Camellia,NSW,2142
Brisbane Campus,5 Hubert St,WOOLLOONGABBA,QLD,4102
Level 1 344 Queen St BRISBANE CITY QLD 4000,Level 1 344 Queen St,BRISBANE CITY,QLD,4000
10 Bains Rd CURRUMBIN VALLEY QLD 4223,10 Bains Rd,CURRUMBIN VALLEY,QLD,4223
"27/33 Childe Street, Byron Bay, NSW, 2481",33 Childe St,Byron Bay,NSW,2481
GC Dive Centre,54 Paradise Ave,MIAMI,QLD,4220
"Minjungbal Museum, Cultural and VET Sustainable Centre",17 Duffy St,TWEED HEADS SOUTH,NSW,2486
Mungalla Station,"Forrest Beach Road,",Via Ingham,QLD,4850
Old Burleigh Theatre Arcade,66 Goodwin Tce,BURLEIGH HEADS,QLD,4220
Sydney Institute of Marine Science,Chowder Bay Road,Mosman,NSW,2088
Brisbane Campus,Level 2 333 Adelaide St,Brisbane,QLD,4000
Underwood,120 Kingston Rd,Underwood,QLD,4119
Woolloongabba,74 Annerley Rd,WOOLLOONGABBA,QLD,4102
Queen Street Melbourne,"Level 5, Tenancy 3, 190 Queen Street",Melbourne,VIC,3000
"127-129 Sutherland Rd, Jannali",127 Sutherland Rd,Jannali,NSW,2226
135 Pirie St Level 1 ADELAIDE SA 5000,135 Pirie St,ADELAIDE,SA,5000
"132 Grenfell St, Adelaide",132 Grenfell St,Adelaide,SA,5000
"Level 5, 370 Docklands Drive, Docklands 3008",Level 5,Docklands,VIC,3008
"Level 9, 68 Grenfell Street, Adelaide, South Australia 5000",Level 9,Adelaide,SA,5000
Murdoch College,"Building B121-122, Murdoch University,",Murdoch,WA,6150
Level 2 209-211 Lonsdale,Level 2 209-211 Lonsdale St,MELBOURNE,VIC,3000
