location_name,address_line_1,city,state,postcode
Pimpala Primary School,24 Vanstone Avenue,Morphett Vale,SA,5162
Playford Primary School,216 Adams Rd,CRAIGMORE,SA,5114
Plympton International College,21a Errington St,Plympton,SA,5038
Prospect North Primary School,30 Stuart Road,PROSPECT,SA,5082
Prospect Primary School,27 Gladstone Rd,PROSPECT,SA,5082
Renmark High School,Thurk St,Renmark,SA,5341
Renmark Primary School,58 Murtho St,Renmark,SA,5341
Reynella East College,63 Malbeck Dr,Reynella East,SA,5161
Richmond Primary School,8 Surrey Road,Keswick,SA,5035
Risdon Park Primary School,Kingston Road,Port Pirie,SA,5540
Roma Mitchell Secondary College,181 Hampstead Rd,Northfield,SA,5085
Rose Park Primary School,54 Alexandra Ave,Rose Park,SA,5067
Roxby Downs Area School,7 Richardson Place,Roxby Downs,SA,5725
Salisbury East High School,50 Smith Road,Salisbury East,SA,5109
Salisbury North Primary School,38 Bagster Rd,Salisbury North,SA,5108
Seaford Secondary School,Lynton Tce,Seaford,SA,5169
Seaton High School,Glenburnie St,Seaton,SA,5023
St Leonards Primary School,Jervois St,Glenelg North,SA,5045
Stradbroke School,73 Koonga Ave,Rostrevor,SA,5073
Sturt Street Community School,221 Sturt St,Adelaide,SA,5000
Surrey Downs R-7 School,16 Vine St,Surrey Downs,SA,5126
The Heights School,Brunel Dr,Modbury Heights,SA,5092
The Pines School,42 Andrew Smith Dr,Parafield Gardens,SA,5017
Thebarton Senior College,40 Ashley St,Torrensville,SA,5031
Thorndon Park Primary School,71 Stradbroke Road,Athelstone,SA,5076
Tintinara Area School,37 Wendt Terrace,TINTINARA,SA,5266
Underdale High School,19 Garden Tce,Underdale,SA,5032
Unley High School,Kitchener St,Netherby,SA,5062
Vale Park Primary School,40 Ascot Ave,VALE PARK,SA,5081
Valley View Secondary School,240 Wright Rd,PARA VISTA,SA,5093
Victor Harbor High School,George Main Rd,Victor Harbor,SA,5212
Victor Harbor Primary School,The Parkway,VICTOR HARBOR,SA,5211
Virginia Primary School,Park Rd,Virginia,SA,5120
Waikerie High School,24 Blake Rd,WAIKERIE,SA,5330
Walkerville Primary School,159 Stephen Tce,Walkerville,SA,5081
West Beach Primary School,3 Woodhead St,West Beach,SA,5024
Whyalla Secondary College,Nicolson Avenue,Whyalla Norrie,SA,5608
Willunga High School,239 Main Rd,WILLUNGA,SA,5172
Wirreanda Secondary School,105 Richards Dr,Morphett Vale,SA,5162
Woodville Gardens Primary School,18 Ridley Grove,Woodville Gardens,SA,5012
Woodville High School,11 Actil Ave,Woodville,SA,5011
Woodville Primary School,Evans St,Woodville South,SA,5011
211 Newcastle St PERTH WA 6000 (NAVITAS English Services Pty Ltd),211 Newcastle St,Perth,WA,6000
Central Regional TAFE - Kalgoorlie Campus,67 Brookman St,KALGOORLIE,WA,6430
"Central Regional TAFE, Geraldton Campus",175 Fitzergerald St,Geraldton,WA,6530
"Central Regional TAFE, Northam Campus",1 Hutt St,Northam,WA,6401
"North Metropolitan TAFE, Balga Campus",18 Loxwood Rd,Balga,WA,6061
"North Metropolitan TAFE, East Perth Campus",140 Royal St,East Perth,WA,6004
"North Metropolitan TAFE, ELICOS Campus (Perth)",133 Newcastle St,Northbridge,WA,6003
"North Metropolitan TAFE, Joondalup Campus",35 Kendrew Cres,Joondalup,WA,6027
"North Metropolitan TAFE, Leederville Campus",43 Richmond St,Leederville,WA,6007
"North Metropolitan TAFE, Mt Lawley Campus",397 Lord St,Mt Lawley,WA,6050
"North Metropolitan TAFE, Perth Campus",25 Aberdeen Street Perth,Northbridge,WA,6003
"North Metropolitan TAFE, Trades North Campus",31 Harmony Ave,Clarkson,WA,6030
"North Regional TAFE, Broome Campus",68 Cable Beach Rd,Broome,WA,6725
"North Regional TAFE, Karratha Campus",1 Broadhurst Rd,Karratha,WA,6714
"North Regional TAFE, Kununurra",158 Coolibah Dr,KUNUNURRA,WA,6743
South Metropolitan TAFE - Fremantle Campus,1 Fleet Street,Fremantle,WA,6169
"South Metropolitan TAFE, Aerospace Training Centre Jandakot",23 Eagle Dr,Jandakot,WA,6164
"South Metropolitan TAFE, Bentley Campus",24 Hayman Rd,Bentley,WA,6102
"South Metropolitan TAFE, Carlisle Campus",141 Bank St,Carlisle,WA,6101
"South Metropolitan TAFE, Fremantle Campus",15 Grosvenor St,Beaconsfield,WA,6162
"South Metropolitan TAFE, Kwinana Campus",36 Berthold St,Orelia,WA,6167
"South Metropolitan TAFE, Mandurah Campus",2 Education Dr,MANDURAH,WA,6210
"South Metropolitan TAFE, Munster Campus",9 Gardiner Ave,Munster,WA,6166
"South Metropolitan TAFE, Murdoch Campus",130 Murdoch Dr,Murdoch,WA,6150
"South Metropolitan TAFE, Rockingham Campus",151 Simpson Ave,Rockingham,WA,6168
"South Metropolitan TAFE, Thornlie Campus",44 Burslem Dr,Thornlie,WA,6108
"South Regional TAFE, Albany Campus",5 Anson Rd,Albany,WA,6330
"South Regional TAFE, Bunbury Campus",58 Robertson Dr,Bunbury,WA,6230
"308 Queen Street, Brisbane, QLD 4000",308 Queen Street,Brisbane City,QLD,4000
Dutton Park Campus,20 Cornwall Street,Woolloongabba,QLD,4102
Gatton Campus,The University of Queensland,GATTON,QLD,4345
Herston Campus,Herston Rd,HERSTON,QLD,4006
"Levels 6 & 7/293 Queen Street, Brisbane City",Levels 6 & 7/293 Queen St,Brisbane City,QLD,4072
St Lucia Campus,University of Queensland,ST LUCIA,QLD,4072
Camden Campus (Plant Breeding Institute),107 Cobbitty Rd,Cobbity,NSW,2570
Camden Campus (Veterinary Science),425 Werombi Rd,Camden,NSW,2570
Mallett Street Campus,88 Mallett St,Camperdown,NSW,2050
Surry Hills Campus,"Faculty Building, Level 6",Surry Hills,NSW,2010
Sydney Conservatorium of Music,The Greenway Building,Sydney,NSW,2000
"Sydney, CBD Level 16, 17 and 18, 133 Castlereagh Street",133 Castlereagh St,Sydney,NSW,2000
Taronga Conservation Society of Australia,Bradleys Head Rd,Mosman,NSW,2088
Taylors College (Waterloo) (School operations),965 Bourke St,WATERLOO,NSW,2017
The University of Sydney,Parramatta Rd,CAMPERDOWN,NSW,2050
Westmead Campus,Westmead Health Precinct,Westmead,NSW,2145
Holmes Secondary College (ELICOS Operations),Level 6,SYDNEY,NSW,2000
495 Kent St Sydney,493-495 Kent St,Sydney,NSW,2000
"Levels 7 & 8, 338-340 Pitt Street Sydney NSW 2000",Level 8 338 Pitt St,SYDNEY,NSW,2000
Level 6 10 William St PERTH WA 6000,10 William St,Perth,WA,6000
St George's Anglican Grammar School,50 William St,PERTH,WA,6000
Milner International College of English (WA) Pty Ltd,379 Hay St,PERTH,WA,6000
Keyseq Pty Ltd,223 Vincent St,NORTH PERTH,WA,6006
Holmes Commecial Colleges (Melb) Ltd,185 Spring St,Melbourne,VIC,3000
You Study International College,"2B Second Floor, Orchid Plaza",Cairns,QLD,4870
Adelaide City Campus,120 Currie St,ADELAIDE,SA,5000
