job_name,job_openings,salary,job_growth,job_satisfaction,review_num,job_field
Jeweller,293,$83K,-2.30%,4.5,Based on 6 reviews,Trades & Services
Interpreter,"2,277",$70K,18.90%,4,Based on 20 reviews,Trades & Services
Instrumentation Technician,626,$85K,,4.4,Based on 10 reviews,Trades & Services
Installer,"10,684",$73K,8.50%,4.2,Based on 32 reviews,Trades & Services
Installation Technician,258,$85K,,5,Based on 1 review,Trades & Services
Infrastructure Worker,,,,,,Trades & Services
Industrial Spraypainter,155,$80K,,4,Based on 4 reviews,Trades & Services
Industrial Electrician,"4,146",$105K,10.20%,4.1,Based on 33 reviews,Trades & Services
Hydraulic Technician,177,$100K,,4,Based on 2 reviews,Trades & Services
Horticulturist,960,$70K,,4.1,Based on 22 reviews,Trades & Services
Heavy Vehicle Mechanic,"2,451",$93K,-0.70%,3.8,Based on 23 reviews,Trades & Services
Heavy Diesel Mechanic,"2,627",$105K,-0.70%,4.1,Based on 55 reviews,Trades & Services
Heavy Diesel Fitter,"1,355",$185K,0.40%,3.8,Based on 26 reviews,Trades & Services
"Heating, Ventilation and Air Conditioning Technician",359,$100K,,3.8,Based on 8 reviews,Trades & Services
Handyperson,"3,591",$75K,4.90%,4.4,Based on 46 reviews,Trades & Services
Hairstylist,510,$63K,9.60%,3.8,Based on 9 reviews,Trades & Services
Hairdresser,866,$45K,9.60%,3.7,Based on 96 reviews,Trades & Services
Guard,361,,,2,Based on 3 reviews,Trades & Services
Groundskeeper,"1,102",$65K,7.20%,4.1,Based on 55 reviews,Trades & Services
Greenkeeper,352,$68K,,4.1,Based on 9 reviews,Trades & Services
Glazier,688,$78K,1.00%,3.4,Based on 15 reviews,Trades & Services
General Labourer,"3,341",$68K,8.70%,4,Based on 37 reviews,Trades & Services
General Hand,"2,095",$65K,,3.9,Based on 31 reviews,Trades & Services
Gasfitter,288,$90K,8.60%,4,Based on 27 reviews,Trades & Services
Gardener,"4,018",$65K,13.50%,4,Based on 85 reviews,Trades & Services
Formworker,494,$88K,,4.3,Based on 6 reviews,Trades & Services
Formwork Carpenter,"1,012",$83K,-0.60%,4,Based on 39 reviews,Trades & Services
Forklift Technician,"4,052",,,4,Based on 1 review,Trades & Services
Folder Operator,65,,,4,Based on 2 reviews,Trades & Services
Florist,304,$65K,,4.2,Based on 29 reviews,Trades & Services
Flagship Manager,,,,,,Trades & Services
Fitter and Turner,"5,015",$88K,2.20%,4.2,Based on 58 reviews,Trades & Services
Fitter,"12,082",$85K,2.20%,4,Based on 45 reviews,Trades & Services
Fire Technician,555,$93K,,4.4,Based on 9 reviews,Trades & Services
Fire Suppression Technician,100,$90K,,4,Based on 1 review,Trades & Services
Field Service Technician,"4,962",$90K,6.10%,4.4,Based on 45 reviews,Trades & Services
Field Representative,100,$68K,,4.5,Based on 2 reviews,Trades & Services
Facilities Supervisor,259,$85K,,1,Based on 2 reviews,Trades & Services
Fabricator,"1,652",$83K,3.20%,4,Based on 29 reviews,Trades & Services
Engineering Team Leader,"5,889",$135K,,4,Based on 2 reviews,Trades & Services
Electronics Technician,"3,125",$85K,,3.9,Based on 19 reviews,Trades & Services
Electrician,"18,828",$100K,10.20%,3.8,Based on 185 reviews,Trades & Services
Electrical Technician,"2,940",$110K,,4.1,Based on 18 reviews,Trades & Services
Electrical Project Manager,"3,078",$150K,10.20%,4.2,Based on 5 reviews,Trades & Services
Drainer,763,$88K,,,,Trades & Services
Dismantler,245,$73K,,5,Based on 1 review,Trades & Services
Diesel Technician,225,$85K,,3.3,Based on 4 reviews,Trades & Services
Diesel Mechanic,"6,053",$90K,-0.70%,4,Based on 92 reviews,Trades & Services
Diesel Fitter,"4,345",$150K,2.20%,4.1,Based on 57 reviews,Trades & Services
Diagnostic Technician,100,$75K,,3,Based on 4 reviews,Trades & Services
Detailer,608,$65K,,3.7,Based on 15 reviews,Trades & Services
Dermal Therapist,755,$70K,12.20%,3.5,Based on 2 reviews,Trades & Services
Decorator,100,,5.20%,4.5,Based on 11 reviews,Trades & Services
Crowd Controller,388,,,4,Based on 8 reviews,Trades & Services
Crew Supervisor,"1,546",$160K,,,,Trades & Services
Crew Member,"1,502",$63K,,3.2,Based on 242 reviews,Trades & Services
Crane Technician,100,$155K,,,,Trades & Services
Coordination Manager,316,$105K,,,,Trades & Services
Controls Technician,204,$120K,,,,Trades & Services
Control Operator,,,,,,Trades & Services
Construction Labourer,"6,448",$65K,4.70%,4,Based on 101 reviews,Trades & Services
Concreter,"2,693",$85K,1.70%,3.7,Based on 22 reviews,Trades & Services
Communications Technician,628,$105K,,4.3,Based on 4 reviews,Trades & Services
Commissioning Technician,114,$103K,,4,Based on 4 reviews,Trades & Services
Colourist,,,,,,Trades & Services
Clinic Manager,457,$90K,,4.5,Based on 4 reviews,Trades & Services
Cleaning Supervisor,"1,253",$70K,,3.9,Based on 11 reviews,Trades & Services
Cleaner,"12,999",$60K,6.30%,3.9,Based on 597 reviews,Trades & Services
Civil Labourer,"4,167",$73K,,4.3,Based on 38 reviews,Trades & Services
Civil Construction Worker,"3,314",$63K,,3.1,Based on 7 reviews,Trades & Services
Chiller Technician,101,,,5,Based on 1 review,Trades & Services
Carpenter,"8,347",$80K,-0.60%,4,Based on 103 reviews,Trades & Services
Careworker,"2,755",$80K,21.80%,4.6,Based on 37 reviews,Trades & Services
Caretaker,161,$68K,,4.4,Based on 9 reviews,Trades & Services
Car Detailer,907,$55K,6.00%,4,Based on 34 reviews,Trades & Services
Calibration Technician,100,$78K,,4,Based on 1 review,Trades & Services
Cake Decorator,100,$63K,2.90%,4.2,Based on 13 reviews,Trades & Services
Cable Jointer,249,$90K,,5,Based on 2 reviews,Trades & Services
Cabinet Maker,"3,988",$70K,4.70%,3.6,Based on 75 reviews,Trades & Services
Butcher Manager,284,$80K,,4,Based on 2 reviews,Trades & Services
Butcher,570,$75K,11.20%,3.7,Based on 50 reviews,Trades & Services
Builder,"5,112",$115K,1.60%,4.1,Based on 19 reviews,Trades & Services
Bricklayer,853,$65K,2.00%,3.6,Based on 62 reviews,Trades & Services
Boner,258,$68K,,3,Based on 2 reviews,Trades & Services
Boilermaker,"6,102",$115K,3.20%,3.8,Based on 226 reviews,Trades & Services
Beauty Therapist,"4,336",$70K,12.20%,3.9,Based on 91 reviews,Trades & Services
Barber,568,$70K,9.60%,3.9,Based on 21 reviews,Trades & Services
Baker,"1,122",$70K,2.90%,3.3,Based on 75 reviews,Trades & Services
Automotive Technician,"4,928",$78K,-0.70%,3.8,Based on 61 reviews,Trades & Services
Automotive Mechanic,"2,405",$80K,-0.70%,3.9,Based on 37 reviews,Trades & Services
Automotive Electrician,"1,434",$135K,-0.70%,4.3,Based on 90 reviews,Trades & Services
Audio Visual Technician,176,$80K,,4.2,Based on 11 reviews,Trades & Services
Assembler,"4,689",$60K,,3.9,Based on 22 reviews,Trades & Services
Arborist,209,$75K,,4.1,Based on 9 reviews,Trades & Services
Appliance Technician,241,$80K,,3,Based on 1 review,Trades & Services
Air Conditioning and Refrigeration Technician,419,$98K,4.00%,4.5,Based on 2 reviews,Trades & Services
Air Conditioning Technician,935,$98K,,3.9,Based on 12 reviews,Trades & Services
Air Conditioning Mechanic,385,$70K,,,,Trades & Services
Aftersales Manager,100,$105K,,,,Trades & Services
Access Coordinator,100,$95K,,4,Based on 1 review,Trades & Services
Swimming Instructor,872,,9.80%,4.3,Based on 73 reviews,Sport & Recreation
Studio Manager,153,$80K,7.30%,3.6,Based on 5 reviews,Sport & Recreation
Pilates Instructor,,,,,,Sport & Recreation
Personal Trainer,"15,617",$88K,9.80%,4.4,Based on 73 reviews,Sport & Recreation
Participation Officer,100,$80K,,,,Sport & Recreation
Participation Manager,100,$135K,,,,Sport & Recreation
Lifeguard,"1,058",$58K,2.70%,4.1,Based on 63 reviews,Sport & Recreation
Group Leader,948,$145K,,3.8,Based on 5 reviews,Sport & Recreation
Fitness Instructor,"7,997",,9.80%,4.3,Based on 11 reviews,Sport & Recreation
Coach,"12,938",$80K,9.80%,4.1,Based on 48 reviews,Sport & Recreation
Club Manager,863,$78K,1.10%,4,Based on 29 reviews,Sport & Recreation
Activities Officer,297,$73K,,4,Based on 2 reviews,Sport & Recreation
Driving Instructor,"32,190",$75K,8.70%,4.4,Based on 31 reviews,Self Employment
Zoologist,100,$105K,3.40%,4,Based on 1 review,Science & Technology
Technologist,247,,,3.5,Based on 4 reviews,Science & Technology
Technical Officer,436,$88K,,3.7,Based on 56 reviews,Science & Technology
Technical Assistant,105,$73K,,3.3,Based on 11 reviews,Science & Technology
Statistician,119,$100K,11.00%,4.3,Based on 3 reviews,Science & Technology
Research Scientist,"1,696",$100K,3.40%,4.7,Based on 6 reviews,Science & Technology
Regulatory Manager,142,$150K,,,,Science & Technology
Modeller,"10,095",$120K,11.00%,,,Science & Technology
Microbiologist,275,$80K,3.40%,3.9,Based on 17 reviews,Science & Technology
Meteorologist,100,$90K,2.70%,4.5,Based on 2 reviews,Science & Technology
Mathematician,"1,047",$95K,11.00%,,,Science & Technology
Marine Biologist,100,,3.40%,,,Science & Technology
Laboratory Technician,"2,297",$75K,6.80%,3.6,Based on 115 reviews,Science & Technology
Laboratory Supervisor,110,$110K,,3.5,Based on 6 reviews,Science & Technology
Laboratory Scientist,974,$73K,,5,Based on 1 review,Science & Technology
Laboratory Assistant,849,$63K,,3.7,Based on 55 reviews,Science & Technology
Laboratory Analyst,100,$75K,,3.6,Based on 5 reviews,Science & Technology
Geographic Information System Officer,100,$85K,,5,Based on 2 reviews,Science & Technology
Game Designer,571,,13.70%,3,Based on 1 review,Science & Technology
Forester,327,$88K,1.80%,5,Based on 1 review,Science & Technology
Forensic Scientist,100,,3.50%,,,Science & Technology
Food Technologist,312,$80K,0.40%,3.6,Based on 5 reviews,Science & Technology
Environmental Scientist,"1,390",$90K,-2.10%,3.8,Based on 6 reviews,Science & Technology
Environmental Officer,733,$93K,,4.3,Based on 7 reviews,Science & Technology
Environmental Consultant,742,$95K,,4.7,Based on 3 reviews,Science & Technology
Embryologist,100,$90K,5.60%,4.5,Based on 2 reviews,Science & Technology
Ecologist,348,$100K,-2.10%,3.5,Based on 4 reviews,Science & Technology
Data Scientist,"3,235",$125K,11.00%,4.1,Based on 23 reviews,Science & Technology
Control Supervisor,,,,,,Science & Technology
Chemist,"2,226",$75K,0.40%,3.9,Based on 27 reviews,Science & Technology
Certification Officer,100,$65K,,,,Science & Technology
Building Information Modelling Manager,226,$130K,,4.7,Based on 3 reviews,Science & Technology
Archaeologist,100,$85K,18.90%,3.3,Based on 7 reviews,Science & Technology
Aquaculture Technician,100,$65K,-4.90%,3.1,Based on 7 reviews,Science & Technology
Animal Technician,100,$63K,-4.90%,3.9,Based on 11 reviews,Science & Technology
Trader,"20,187",$100K,,4,Based on 5 reviews,Sales
Territory Manager,"8,778",$95K,4.40%,4.2,Based on 51 reviews,Sales
Tender Manager,225,$130K,,5,Based on 1 review,Sales
Success Manager,775,$93K,,5,Based on 1 review,Sales
State Manager,"2,370",$135K,,3.9,Based on 11 reviews,Sales
Specification Representative,48,$83K,,,,Sales
Specification Manager,135,$115K,,,,Sales
Specification Consultant,,,,,,Sales
Specialist Representative,,,,,,Sales
Solutions Specialist,643,$110K,,3.5,Based on 2 reviews,Sales
Solutions Associate,,,,,,Sales
Showroom Consultant,"1,409",$65K,,4,Based on 3 reviews,Sales
Segment Manager,,,,,,Sales
Salesperson,"5,162",$68K,1.60%,3.4,Based on 58 reviews,Sales
Sales and Service Manager,"9,782",$90K,,,,Sales
Sales and Marketing Manager,"6,511",$105K,,3.2,Based on 18 reviews,Sales
Sales and Business Development Manager,"7,196",$105K,5.40%,4.6,Based on 5 reviews,Sales
Sales Team Leader,"11,141",$90K,,4,Based on 8 reviews,Sales
Sales Support Specialist,"1,125",$78K,,3,Based on 1 review,Sales
Sales Supervisor,100,$90K,,2.8,Based on 8 reviews,Sales
Sales Specialist,593,$90K,,4.5,Based on 2 reviews,Sales
Sales Representative,"18,583",$78K,4.90%,3.9,Based on 116 reviews,Sales
Sales Professional,"3,416",$75K,,3.5,Based on 13 reviews,Sales
Sales Officer,157,$70K,,2,Based on 2 reviews,Sales
Sales Manager,"20,686",$120K,5.40%,4.1,Based on 126 reviews,Sales
Sales Executive,"4,670",$83K,5.40%,3.9,Based on 58 reviews,Sales
Sales Engineer,"3,729",$105K,,4.3,Based on 22 reviews,Sales
Sales Director,922,$160K,5.40%,3.8,Based on 4 reviews,Sales
Sales Development Representative,"1,147",$78K,,4,Based on 3 reviews,Sales
Sales Coordinator,"1,671",$70K,,4.1,Based on 24 reviews,Sales
Sales Consultant,"7,159",$75K,4.90%,3.7,Based on 185 reviews,Sales
Sales Analyst,423,$90K,,1,Based on 1 review,Sales
Sales Adviser,100,$65K,,4.1,Based on 8 reviews,Sales
Sales Account Manager,"7,071",$90K,,3.8,Based on 31 reviews,Sales
Retention Officer,100,$70K,,4,Based on 2 reviews,Sales
Retention Coordinator,100,$70K,,,,Sales
Retail Executive,196,$100K,,,,Sales
Reservations Specialist,,,,,,Sales
Relationship Manager,"16,065",$105K,,4.1,Based on 42 reviews,Sales
Relationship Adviser,100,$85K,,3,Based on 1 review,Sales
Proposal Manager,130,$150K,,4,Based on 1 review,Sales
Promotions Manager,109,$95K,,3,Based on 1 review,Sales
Pricing Specialist,100,$100K,5.40%,5,Based on 1 review,Sales
Pricing Officer,100,$75K,5.40%,,,Sales
Presales Consultant,242,$150K,5.40%,3,Based on 1 review,Sales
Partnerships Manager,538,$110K,,3.8,Based on 14 reviews,Sales
Partnerships Executive,100,$78K,,,,Sales
Partnerships Coordinator,100,$80K,,3.5,Based on 2 reviews,Sales
Partner Manager,"18,381",$120K,,,,Sales
Mergers and Acquisitions Manager,520,$160K,,4,Based on 1 review,Sales
Membership Consultant,"44,307",$60K,5.40%,3.3,Based on 7 reviews,Sales
Marketing Representative,100,,11.40%,,,Sales
Management Executive,814,,,5,Based on 1 review,Sales
Licensing Specialist,,,,,,Sales
Key Account Manager,"10,659",$110K,,4,Based on 35 reviews,Sales
Investment Specialist,100,$130K,,,,Sales
Insurance Consultant,270,$80K,,4.6,Based on 5 reviews,Sales
Inside Sales Representative,214,$75K,,3.5,Based on 2 reviews,Sales
Finance Specialist,271,$90K,,2.5,Based on 2 reviews,Sales
Finance Consultant,100,$125K,,3.5,Based on 2 reviews,Sales
Development Executive,411,$88K,,,,Sales
Delivery Coordinator,435,$73K,,3.7,Based on 7 reviews,Sales
Customer Value Specialist,894,,0.70%,,,Sales
Customer Success Manager,"58,804",$95K,,3.6,Based on 7 reviews,Sales
Customer Relationship Management Developer,180,$150K,,,,Sales
Client Relationship Manager,"13,989",$90K,,4.1,Based on 16 reviews,Sales
Client Manager,"8,215",$120K,,3.5,Based on 19 reviews,Sales
Channel Manager,250,$130K,,3.7,Based on 3 reviews,Sales
Campaign Executive,100,$68K,11.40%,,,Sales
Business Executive,866,$100K,,,,Sales
Business Development Specialist,"1,641",$90K,5.40%,,,Sales
Business Development Representative,"9,912",$83K,5.40%,3.5,Based on 2 reviews,Sales
Business Development Manager,"20,314",$105K,4.40%,4.2,Based on 152 reviews,Sales
Business Development Executive,"10,005",$85K,5.40%,4.3,Based on 9 reviews,Sales
Business Consultant,720,$130K,32.20%,4.3,Based on 63 reviews,Sales
Business Adviser,105,$110K,,4.7,Based on 3 reviews,Sales
Business Activity Statement Agent,100,,,5,Based on 1 review,Sales
Brand Ambassador,"1,775",$70K,,4,Based on 42 reviews,Sales
Bid Manager,262,$145K,,4,Based on 5 reviews,Sales
Analytics Manager,398,$145K,17.70%,5,Based on 1 review,Sales
Account Specialist,172,$95K,,5,Based on 1 review,Sales
Account Manager,"21,800",$90K,5.40%,3.9,Based on 145 reviews,Sales
Account Executive,"9,886",$95K,11.40%,3.6,Based on 25 reviews,Sales
Account Director,774,$120K,5.40%,4,Based on 1 review,Sales
Account Development Manager,"2,188",$135K,,3,Based on 1 review,Sales
Account Coordinator,142,$68K,,4.5,Based on 4 reviews,Sales
Account Consultant,,,,,,Sales
Visual Merchandiser,"2,908",$65K,-1.20%,4,Based on 55 reviews,Retail & Consumer Products
Style Consultant,,,,,,Retail & Consumer Products
Store Supervisor,258,$75K,,3.4,Based on 14 reviews,Retail & Consumer Products
Store Leader,"1,904",$70K,,4.5,Based on 2 reviews,Retail & Consumer Products
Storage Consultant,100,$53K,,3,Based on 4 reviews,Retail & Consumer Products
Stock Coordinator,100,$65K,,3,Based on 1 review,Retail & Consumer Products
Sprinklerfitter,100,$110K,,4.3,Based on 4 reviews,Retail & Consumer Products
Showroom Manager,204,$78K,-3.70%,3.6,Based on 10 reviews,Retail & Consumer Products
Service Team Member,"28,971",$63K,,3.2,Based on 9 reviews,Retail & Consumer Products
Sales Assistant,"12,025",$60K,1.60%,3.5,Based on 288 reviews,Retail & Consumer Products
Retail Team Leader,"2,663",$83K,,3.8,Based on 5 reviews,Retail & Consumer Products
Retail Store Manager,"5,346",$70K,0.30%,3.7,Based on 336 reviews,Retail & Consumer Products
Retail Sales Associate,"10,636",$65K,,3.7,Based on 60 reviews,Retail & Consumer Products
Retail Sales Assistant,"11,251",$58K,1.60%,3.5,Based on 633 reviews,Retail & Consumer Products
Retail Coordinator,153,$70K,,4,Based on 1 review,Retail & Consumer Products
Retail Buyer,838,$80K,0.40%,,,Retail & Consumer Products
Resourcer,235,$68K,,,,Retail & Consumer Products
Regional Manager,"4,133",$125K,,4.1,Based on 45 reviews,Retail & Consumer Products
Product Coordinator,224,$70K,22.30%,4.5,Based on 2 reviews,Retail & Consumer Products
Produce Manager,100,$65K,,3.5,Based on 6 reviews,Retail & Consumer Products
Prison Officer,133,$83K,,2.9,Based on 10 reviews,Retail & Consumer Products
Planning Assistant,134,$70K,,,,Retail & Consumer Products
Planning Analyst,111,$95K,,3.8,Based on 4 reviews,Retail & Consumer Products
Optical Dispenser,368,$63K,5.20%,3.9,Based on 71 reviews,Retail & Consumer Products
Operations Clerk,100,$63K,,4,Based on 2 reviews,Retail & Consumer Products
Merchandiser,"9,626",$65K,-1.20%,3.9,Based on 109 reviews,Retail & Consumer Products
Merchandise Coordinator,100,$68K,,,,Retail & Consumer Products
